distrito,cobertura_formal_pct,hogares_sin_acceso,dist_promedio_metros,area_km2,IVH_equal,IVH_demand_heavy,IVH_access_heavy,rank_equal,rank_demand_heavy,rank_access_heavy
SAN JUAN DE LURIGANCHO,79.94,51254,1080.1,139.8904954329333,1.033293410333828,1.4215281034558838,0.8404742374786889,1,1,2
VILLA MARIA DEL TRIUNFO,78.6,20075,2618.5,64.86338222870553,0.9668927602659558,1.2631802864526742,0.7950494030103342,2,3,3
PUENTE PIEDRA,78.16,17297,606.6,49.207453685201195,0.9560006620537806,1.3351770850669586,0.7883171109603981,3,2,4
SANTA ROSA,36.06,5316,898.4,21.47133331619237,0.9070363424569885,1.1001608221912216,0.8890677479608187,4,4,1
ATE,85.69,21704,4668.8,83.18504048978176,0.8597811675161858,1.090146470502321,0.6915639320634718,5,5,6
SAN JUAN DE MIRAFLORES,90.54,7393,3143.6,27.60272619112293,0.8238870911338412,1.0764362431074668,0.6488061229480819,6,6,8
PUCUSANA,38.63,2598,22720.1,31.827127375083972,0.7381748851408308,0.6568639473559694,0.7540295442109001,7,11,5
PUNTA HERMOSA,23.44,4190,6162.6,122.70682653592853,0.5766458413730292,0.4451202787307055,0.6824843810297719,8,16,7
LURIGANCHO,53.95,28034,2339.4,246.8424386991443,0.5665447565578412,0.5890873423108853,0.5752808244716725,9,13,10
VILLA EL SALVADOR,93.94,5074,4934.9,32.23200579228142,0.5651165116724777,0.6716844299730129,0.4436257850082768,10,10,14
PUNTA NEGRA,30.59,1280,12384.1,129.5249394242458,0.5409495969103135,0.37205149271777266,0.63236449653331,11,17,9
INDEPENDENCIA,92.97,3412,469.5,16.110625827091823,0.515104690571911,0.7379043710062752,0.40928436954857794,12,7,16
RIMAC,94.66,2429,668.7,12.010586838384626,0.5123763071846124,0.7176413304059431,0.40171953446369435,13,9,18
PACHACAMAC,50.13,14037,2919.0,183.56311451394822,0.5069155486261672,0.47357620180426785,0.5430327952209316,14,15,11
COMAS,91.48,10080,387.3,47.860497350912055,0.5028772514289704,0.7264945605290356,0.4049792551861479,15,8,17
SAN MARTIN DE PORRES,96.06,6441,557.2,36.71179601249392,0.42320715537635367,0.5996474577261102,0.3302710927600605,16,12,21
CIENEGUILLA,44.54,4966,3933.9,225.81178684296384,0.4170957062547369,0.30226628905240255,0.4939215707046368,17,20,13
ANCON,41.35,9810,2339.3,323.26396485813376,0.40967643087742656,0.31264327824351973,0.49877378083832075,18,19,12
LURIN,57.1,9411,2667.3,190.34726504361734,0.40042391331759314,0.34213664856975246,0.4404041418847466,19,18,15
CHORRILLOS,94.15,4301,1887.0,34.992299540731494,0.3976902306590754,0.4802718453325081,0.317370337571109,20,14,22
SANTA MARIA DEL MAR,70.21,84,16433.0,7.730704293130911,0.39412103320669745,0.2638066041654137,0.3928674206730482,21,21,20
SAN BARTOLO,69.12,597,14920.6,53.755985752321415,0.39156901804186267,0.2623504747683837,0.39451270919492887,22,22,19
CARABAYLLO,77.26,18089,1541.8,358.15120648372954,0.2704836019483299,0.24671419711613463,0.2771181873546643,23,23,23
EL AGUSTINO,98.28,804,2016.2,13.1625887892628,0.22783193628368203,0.23490396131407365,0.1764904621396163,24,24,24
SANTA ANITA,99.18,423,2499.7,10.757458153875216,0.18615387444923104,0.16212556985791665,0.14229304429042378,25,25,25
LA VICTORIA,99.63,181,2929.1,9.251359664664271,0.14691322444382748,0.09499851177399507,0.11139312104969405,26,26,27
CHACLACAYO,96.33,358,3186.8,42.61684369905723,0.1397837748013037,0.0683497546227965,0.11682189588676671,27,28,26
LINCE,99.84,28,3410.9,2.803275013670557,0.13410641639819343,0.0671214541356925,0.10110227833835246,28,29,28
JESUS MARIA,99.91,20,2515.9,4.2736961971351235,0.09537472785280525,0.02794389060767198,0.07182493303693938,29,32,30
LIMA,99.19,602,1179.7,21.871880888416413,0.0946227750580684,0.07096708129355131,0.07361206561957014,30,27,29
MAGDALENA DEL MAR,99.98,4,2807.2,4.149242794587383,0.09458790131127515,0.02026401462080682,0.07100623423841979,31,34,31
SAN LUIS,99.89,15,2395.6,3.689530988341666,0.08988724638672285,0.022656309339674774,0.06777463019234099,32,33,33
SAN ISIDRO,100.0,1,2655.9,8.76873230000603,0.08780168222781459,0.013552549547023007,0.06585126167086094,33,35,34
LA MOLINA,98.17,692,1452.0,48.318483220126375,0.0824758949080671,0.03666664962877363,0.06783262651020393,34,31,32
SANTIAGO DE SURCO,99.45,535,1429.7,32.66887176059785,0.08086347197808047,0.03937794749500719,0.06244358099505459,35,30,35
MIRAFLORES,100.0,0,1804.6,10.06534607713449,0.055870584099242226,-0.010613368091924716,0.04190293807443168,36,38,36
SAN BORJA,99.98,8,1725.2,10.08347051086178,0.054292293537400296,-0.010283302514368806,0.04078452840801363,37,37,37
BRENA,99.85,36,1233.5,3.3223940527687064,0.05294348263305494,0.007865813296159582,0.04019742388701693,38,36,38
SAN MIGUEL,99.81,82,929.5,10.36218931732912,0.022526295452113758,-0.02052265560192107,0.017515150011237865,39,39,39
PUEBLO LIBRE,99.96,9,1120.8,4.557417698819135,0.022080684529460576,-0.032187822327417515,0.016691129907022297,40,41,40
SURQUILLO,99.93,20,1032.8,4.588410118079372,0.021584408998943677,-0.028011289010629048,0.016416885641579733,41,40,41
LOS OLIVOS,99.76,202,621.5,18.007468955775618,-0.001778031428149425,-0.03244644259025208,-0.0005498245115509587,42,42,42
BARRANCO,99.93,8,665.2,3.092915310860753,-0.018918146453543207,-0.06176970448689538,-0.013960030947785432,43,43,43
